(/home/ege_artan/.code/Python/hypersonics) ege_artan@EgeLaptop:/mnt/c/SenkDosya/Projects/Hypersonics$ python arc/sod_passc_deneme.py --skip-fem

========  STEP 1 : FEM  ========
[INFO] --skip-fem set; reusing runs/fem/refactor/older/sod_fem_snapshots.npz as-is.

========  STEP 2 : PINN  ========
[INFO] PINN device = cuda
[INFO] 10 snapshots, 251 nodes, t in [0.1910, 0.2000], gamma = 1.4
[INFO] U_ref = [1. 1. 3.]
[INFO] FEM fingerprint = 8e8a686f051f185f
[INFO] PINN fingerprint = 4860d026fb80167a
[INFO] No PINN cache at runs/pinn/refactor/older/sod_passc_model.pt; training.
epoch  2520 | L_tot 9.510e-05 | L_data 2.264e-04 | L_pde 5.438e-06 | w_data 0.30 w_pde 5.00 | lr 3.1e-04| t_elapsed 28.29 min
epoch  2540 | L_tot 9.046e-05 | L_data 2.248e-04 | L_pde 4.603e-06 | w_data 0.30 w_pde 5.00 | lr 3.1e-04| t_elapsed 28.53 min
epoch  2560 | L_tot 1.671e-04 | L_data 2.213e-04 | L_pde 2.014e-05 | w_data 0.30 w_pde 5.00 | lr 3.1e-04| t_elapsed 28.76 min
epoch  2580 | L_tot 1.034e-04 | L_data 2.284e-04 | L_pde 6.968e-06 | w_data 0.30 w_pde 5.00 | lr 3.1e-04| t_elapsed 29.06 min
epoch  2600 | L_tot 9.175e-05 | L_data 2.260e-04 | L_pde 4.789e-06 | w_data 0.30 w_pde 5.00 | lr 2.8e-04| t_elapsed 29.33 min
epoch  2620 | L_tot 8.166e-05 | L_data 2.045e-04 | L_pde 4.061e-06 | w_data 0.30 w_pde 5.00 | lr 2.8e-04| t_elapsed 29.62 min
epoch  2640 | L_tot 7.801e-05 | L_data 1.885e-04 | L_pde 4.293e-06 | w_data 0.30 w_pde 5.00 | lr 2.8e-04| t_elapsed 29.87 min
epoch  2660 | L_tot 9.498e-05 | L_data 1.932e-04 | L_pde 7.405e-06 | w_data 0.30 w_pde 5.00 | lr 2.8e-04| t_elapsed 30.08 min
epoch  2680 | L_tot 7.795e-05 | L_data 1.869e-04 | L_pde 4.377e-06 | w_data 0.30 w_pde 5.00 | lr 2.8e-04| t_elapsed 30.29 min
epoch  2700 | L_tot 1.501e-04 | L_data 1.867e-04 | L_pde 1.882e-05 | w_data 0.30 w_pde 5.00 | lr 2.8e-04| t_elapsed 30.54 min
epoch  2720 | L_tot 8.038e-05 | L_data 1.856e-04 | L_pde 4.940e-06 | w_data 0.30 w_pde 5.00 | lr 2.8e-04| t_elapsed 30.79 min
epoch  2740 | L_tot 8.161e-05 | L_data 1.924e-04 | L_pde 4.777e-06 | w_data 0.30 w_pde 5.00 | lr 2.8e-04| t_elapsed 31.02 min
epoch  2760 | L_tot 8.065e-05 | L_data 1.729e-04 | L_pde 5.756e-06 | w_data 0.30 w_pde 5.00 | lr 2.5e-04| t_elapsed 31.26 min
epoch  2780 | L_tot 1.446e-04 | L_data 1.826e-04 | L_pde 1.797e-05 | w_data 0.30 w_pde 5.00 | lr 2.5e-04| t_elapsed 31.50 min
epoch  2800 | L_tot 8.210e-05 | L_data 1.783e-04 | L_pde 5.723e-06 | w_data 0.30 w_pde 5.00 | lr 2.5e-04| t_elapsed 31.74 min
epoch  2820 | L_tot 6.986e-05 | L_data 1.662e-04 | L_pde 3.998e-06 | w_data 0.30 w_pde 5.00 | lr 2.5e-04| t_elapsed 32.00 min
